CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
13991134,4649,20732874,16237690,5492128,3840129,6905433,36546,17621407,,,19385703,19165191,,37028856,37053747,37225844,0,172097,0,172097,23
14064659,6820,230729304,51668933,49636,12568069,39051228,38264,9604889,2592111,81610,270157891,9167378,,44858768,97032398,42169766,54862632,0,43120634,0,46
14080700,6020,8537526,46786401,277785,45254113,1254503,1066637,430314227,2327290,16296851,-392547804,71874602,,17268918,19727917,28197640,0,8469723,0,8469723,217
14090259,4221,9257987,36196870,6996916,29010508,189446,20266,35912820,4546108,,5016195,702000,,83338825,86434135,83445218,2988917,0,2551567,0,226
18621094,6612,100943,5407638,2813546,1110925,1483167,13318,3972103,737837,,811959,200,,5010174,5042014,4029830,1012184,0,843807,0,11
18627070,4211,5459628,18060954,1454542,16456690,149722,,21885333,,,1635249,605000,,25139576,25140093,25834219,0,694126,0,694126,55
18629020,1413,1870616,27786545,14038279,12820804,927462,35595,17915955,,,11776801,349580,,56278899,60975723,58584496,2391227,0,1994743,0,377
18630459,4211,23778648,5232372,520642,4569051,142679,36070,1378321,241,,27668528,200,,1335272,1312996,3397202,0,2084206,0,2084206,22
18632808,2894,26293989,6079213,4185484,922672,971057,987,15050342,,,17323847,32636956,,12450688,17077967,18706747,0,1628780,0,1628780,133
18643548,4643,372387,20905177,12100759,8697459,106959,,18239042,,,3038522,301100,,63757234,64426504,61279447,3147057,0,2677422,0,27
18647191,5221,21509050,2932232,320017,2562502,49713,121,3041695,,,21399708,4070000,,11427564,11464239,6942171,4522068,0,4029316,0,60
18647655,1820,2475535,24586806,8444781,15989881,132222,1095526,21651622,465822,,6040423,100000,,21582166,22179853,21476298,703555,0,580325,0,41
18648430,4759,1297561,16313459,12280764,2464481,1083501,1892016,5751424,,16468,13735144,4000100,,94778889,95213890,84770259,10443631,0,8935024,0,173
18656602,2342,87492658,18711992,8672015,8339943,1700034,8991,22348646,760,58069,83806166,115024950,,43444230,46155852,66724636,0,20568784,0,20568784,192
18676278,4690,137837,6446123,921706,3504944,2019473,12079,12808899,,265197,-6478057,6688476,,16892329,17259646,18518770,0,1259124,0,1259124,7
18734735,5913,18046,71286173,51661140,13691313,5933720,5778,22370512,1415071,,47524414,58646900,,10635584,17595708,20470109,0,2874401,0,2874401,10
18752383,4920,426691,16113191,79090,8399275,7634826,39366,4231588,,5000,12342660,77380,,50329796,50562979,46775160,3787819,0,3070684,0,119
18763870,4941,6135570,4919134,80327,4791574,47233,1863242,12773750,24,,144172,201000,,15657257,16546318,16058115,488203,0,488203,0,45
18787381,2211,400564981,24854457,13070518,4536303,7247636,715770,38050189,,265280,387819739,797420000,,29034811,329405151,78140072,251265079,0,251265079,0,327
18812639,4511,11512626,16846513,10748723,2027488,4070302,347373,12332340,,,16374172,15966400,,94939444,95795654,94236267,1559387,0,1559387,0,11
18821734,6820,178674372,49521230,,32673241,16847989,177047,179863256,8030226,,40479167,2500,,48754588,61151142,39653995,21497147,0,20895580,0,1
18830740,5510,52301258,3936578,1401349,1804981,730248,,67336428,,,-11098592,39443854,,9709757,13735499,15889658,0,2154159,0,2154159,121
18833607,7112,2863,13511315,,13453932,57383,,24573829,,,-11059651,200,,1396,578232,1019256,0,441024,0,441024,2
18888793,7112,1214966,32696520,1944,24945688,7748888,1238213,21253692,1119167,477233,12299607,35000,,52293438,56212035,50057484,6154551,0,5109278,0,337
