CUI,CAEN,ACTIVE IMOBILIZATE ,ACTIVE CIRCULANTE ,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
5076310,111,7497731,6204768,2057158,3729304,418306,54975,4233712,,,9523762,1200000,,27417264,27756704,26738247,1018457,0,823285,0,34
5090985,4941,2221037,1593191,66434,1461850,64907,23980,2730994,,,1107214,1000000,,6995401,7183672,7160274,23398,0,5712,0,29
5093736,4711,227344,1049673,443351,82908,523414,,553300,0,0,723717,200,,12281824,12365710,11753182,612528,0,522302,0,28
5093752,4321,7583909,5409620,2096526,2661192,371528,109595,2816900,,,10286224,1383800,,7225898,7067860,6917010,150850,0,127197,0,30
5096449,4321,,7712,,3272,4440,,20493,,,-12781,200,,7185,7185,19990,0,12805,0,13021,2
5098725,1610,3570619,1397599,407294,894899,95406,22990,3272438,,,1718770,1000,,2371732,2765381,3111810,0,346429,0,346429,11
5122220,2312,7740370,3075752,133165,2678192,264395,1852,4727246,1285480,,4805248,1200220,,15616469,16282046,14719334,1562712,0,1333211,0,75
5129058,4719,2619,13831,290,608,12933,,384,,,16066,2500,,2300,2300,9618,0,7318,0,7387,
5131341,4941,11020453,5016044,168286,4758076,89682,80514,7216664,,70894,8829453,3162900,,15602134,16230191,16209299,20892,0,20892,0,54
5210984,7311,3277663,925648,,890088,35560,,1938864,228580,131294,1904573,50000,,1641177,1715038,1514220,200818,0,170095,0,11
5211068,4616,22278,1071,609,404,58,,27543,,,-4194,200,,0,0,,0,0,0,0,
5211300,6820,110375,16001,,5280,10721,,474,,,125902,7065,,59961,59961,17087,42874,0,41075,0,
5211602,4673,1802744,5219902,2565128,1876938,777836,15690,2381204,,,4657132,10200,,12430107,12436333,11567505,868828,0,734538,0,27
5211823,8299,,285815,3886,255840,26089,,62111,,,223704,45000,,2430400,2430707,2407309,23398,0,19832,0,2
