CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
31252326,5210,17396352,23652599,8162300,10211428,5278871,24043,38985890,,68380,2018724,2500000,,226738508,230831197,227050565,3780632,0,3164351,0,21
31371548,7312,623733,2484245,45964,1932456,505825,43122,1034436,26445,,2090219,4990,,5607271,5650406,4672728,977678,0,785655,0,21
31377664,6820,283319488,14383151,,8680426,5702725,43715,371408455,8139828,458655,-82260584,10000,,89330295,119707951,118687049,1020902,0,626689,0,0
31575750,1013,3289205,36802075,5295417,24367182,7139476,,37100384,,,2990896,11300,,44873698,44077782,40671434,3406348,0,2977596,0,112
31637470,4120,1697386,18422168,2627496,9760163,6034509,,15094049,,,5025505,220,,34666486,34644991,28821342,5823649,0,4972798,0,90
31666964,1310,3961762,39526097,5965040,33022963,538094,0,39585919,0,0,3901940,5000,0,14519284,15640218,11918944,3721274,0,3125384,0,42
31672699,3514,810960,32388694,31081,14877504,17412391,89639,15343637,473481,,17472175,,,230244300,230347849,210118582,20229267,0,17411542,0,7
31692750,5320,3155821,25693145,586037,21673264,3433844,50403,24976577,,,3922792,1000,,124256376,125449473,123367567,2081906,0,1702537,0,367
31711488,9200,10555170,33437049,521832,426834,22288383,4784163,4537489,,,44238893,31000,,82946543,85950420,51611311,34339109,0,28875524,0,220
31718222,8010,939986,19730503,1247248,16241533,2241722,281703,27921249,537585,,-7506642,4000,,71773752,71940080,74797842,0,2857762,0,2857762,1827
31730927,5320,100,99053,,97847,1206,-9234,3220683,,,-3130764,115440,,177993,179065,304767,0,125702,0,125702,
